channel,model,task,threshold,strategy,n_raw,n_retained,retention_pct,precision,recall,f1,retained_tp,retained_fp,oracle_preserved,oracle_size,n_gold_pos,tp,fp,fn,tn
FOXNEWS,gemma_4_31b,logo,3,first,54920,23430,42.6621,0.6382,0.9389,0.7599,194,110,615,655,728,,,,
FOXNEWS,gemma_4_31b,logo,3,middle,54920,23430,42.6621,0.6602,0.9863,0.7909,204,105,646,655,728,,,,
FOXNEWS,gemma_4_31b,logo,3,last,54920,23430,42.6621,0.6523,0.9496,0.7734,197,105,622,655,728,,,,
FOXNEWS,gemma_4_31b,logo,4,first,54920,21082,38.3867,0.6353,0.9176,0.7508,169,97,601,655,728,,,,
FOXNEWS,gemma_4_31b,logo,4,middle,54920,21082,38.3867,0.6484,0.9771,0.7795,177,96,640,655,728,,,,
FOXNEWS,gemma_4_31b,logo,4,last,54920,21082,38.3867,0.6347,0.9374,0.7569,172,99,614,655,728,,,,
FOXNEWS,gemma_4_31b,logo,5,first,54920,19468,35.4479,0.625,0.913,0.742,150,90,598,655,728,,,,
FOXNEWS,gemma_4_31b,logo,5,middle,54920,19468,35.4479,0.6408,0.9649,0.7701,157,88,632,655,728,,,,
FOXNEWS,gemma_4_31b,logo,5,last,54920,19468,35.4479,0.6245,0.9267,0.7462,153,92,607,655,728,,,,
FOXNEWS,gemma_4_31b,screenshot,3,first,54920,23430,42.6621,0.8222,0.9932,0.8997,111,24,293,295,538,,,,
FOXNEWS,gemma_4_31b,screenshot,3,middle,54920,23430,42.6621,0.8284,0.9966,0.9047,111,23,294,295,538,,,,
FOXNEWS,gemma_4_31b,screenshot,3,last,54920,23430,42.6621,0.8271,0.9864,0.8998,110,23,291,295,538,,,,
FOXNEWS,gemma_4_31b,screenshot,4,first,54920,21082,38.3867,0.8291,0.9661,0.8923,97,20,285,295,538,,,,
FOXNEWS,gemma_4_31b,screenshot,4,middle,54920,21082,38.3867,0.8291,0.9797,0.8981,97,20,289,295,538,,,,
FOXNEWS,gemma_4_31b,screenshot,4,last,54920,21082,38.3867,0.8291,0.9797,0.8981,97,20,289,295,538,,,,
FOXNEWS,gemma_4_31b,screenshot,5,first,54920,19468,35.4479,0.8476,0.9661,0.903,89,16,285,295,538,,,,
FOXNEWS,gemma_4_31b,screenshot,5,middle,54920,19468,35.4479,0.8302,0.9763,0.8973,88,18,288,295,538,,,,
FOXNEWS,gemma_4_31b,screenshot,5,last,54920,19468,35.4479,0.8224,0.9763,0.8928,88,19,288,295,538,,,,
FOXNEWS,gemma_4_31b,combined,3,first,54920,23430,42.6621,0.75,0.9604,0.8422,291,97,824,858,1087,,,,
FOXNEWS,gemma_4_31b,combined,3,middle,54920,23430,42.6621,0.7647,0.9779,0.8582,299,92,839,858,1087,,,,
FOXNEWS,gemma_4_31b,combined,3,last,54920,23430,42.6621,0.7624,0.9534,0.8473,292,91,818,858,1087,,,,
FOXNEWS,gemma_4_31b,combined,4,first,54920,21082,38.3867,0.75,0.9464,0.8368,255,85,812,858,1087,,,,
FOXNEWS,gemma_4_31b,combined,4,middle,54920,21082,38.3867,0.7543,0.9674,0.8477,261,85,830,858,1087,,,,
FOXNEWS,gemma_4_31b,combined,4,last,54920,21082,38.3867,0.7464,0.9417,0.8327,256,87,808,858,1087,,,,
FOXNEWS,gemma_4_31b,combined,5,first,54920,19468,35.4479,0.7468,0.9429,0.8334,230,78,809,858,1087,,,,
FOXNEWS,gemma_4_31b,combined,5,middle,54920,19468,35.4479,0.7476,0.9569,0.8394,234,79,821,858,1087,,,,
FOXNEWS,gemma_4_31b,combined,5,last,54920,19468,35.4479,0.7372,0.9324,0.8234,230,82,800,858,1087,,,,
FOXNEWS,qwen38_27b,logo,3,first,54920,23430,42.6621,0.8072,0.9574,0.8759,134,32,450,470,728,,,,
FOXNEWS,qwen38_27b,logo,3,middle,54920,23430,42.6621,0.8253,0.9851,0.8982,137,29,463,470,728,,,,
FOXNEWS,qwen38_27b,logo,3,last,54920,23430,42.6621,0.8323,0.9894,0.9041,139,28,465,470,728,,,,
FOXNEWS,qwen38_27b,logo,4,first,54920,21082,38.3867,0.8121,0.9574,0.8788,121,28,450,470,728,,,,
FOXNEWS,qwen38_27b,logo,4,middle,54920,21082,38.3867,0.8278,0.9915,0.9023,125,26,466,470,728,,,,
FOXNEWS,qwen38_27b,logo,4,last,54920,21082,38.3867,0.8224,0.9851,0.8964,125,27,463,470,728,,,,
FOXNEWS,qwen38_27b,logo,5,first,54920,19468,35.4479,0.8029,0.9553,0.8725,110,27,449,470,728,,,,
FOXNEWS,qwen38_27b,logo,5,middle,54920,19468,35.4479,0.8102,0.9723,0.8839,111,26,457,470,728,,,,
FOXNEWS,qwen38_27b,logo,5,last,54920,19468,35.4479,0.8116,0.9702,0.8838,112,26,456,470,728,,,,
FOXNEWS,qwen38_27b,screenshot,3,first,54920,23430,42.6621,0.975,1.0,0.9873,39,1,177,177,538,,,,
FOXNEWS,qwen38_27b,screenshot,3,middle,54920,23430,42.6621,0.975,1.0,0.9873,39,1,177,177,538,,,,
FOXNEWS,qwen38_27b,screenshot,3,last,54920,23430,42.6621,0.975,1.0,0.9873,39,1,177,177,538,,,,
FOXNEWS,qwen38_27b,screenshot,4,first,54920,21082,38.3867,0.9714,1.0,0.9855,34,1,177,177,538,,,,
FOXNEWS,qwen38_27b,screenshot,4,middle,54920,21082,38.3867,0.9714,1.0,0.9855,34,1,177,177,538,,,,
FOXNEWS,qwen38_27b,screenshot,4,last,54920,21082,38.3867,0.9714,1.0,0.9855,34,1,177,177,538,,,,
FOXNEWS,qwen38_27b,screenshot,5,first,54920,19468,35.4479,0.9688,1.0,0.9841,31,1,177,177,538,,,,
FOXNEWS,qwen38_27b,screenshot,5,middle,54920,19468,35.4479,0.9688,1.0,0.9841,31,1,177,177,538,,,,
FOXNEWS,qwen38_27b,screenshot,5,last,54920,19468,35.4479,0.9688,1.0,0.9841,31,1,177,177,538,,,,
FOXNEWS,qwen38_27b,combined,3,first,54920,23430,42.6621,0.8239,0.9676,0.8899,145,31,507,524,1087,,,,
FOXNEWS,qwen38_27b,combined,3,middle,54920,23430,42.6621,0.8418,0.9962,0.9125,149,28,522,524,1087,,,,
FOXNEWS,qwen38_27b,combined,3,last,54920,23430,42.6621,0.8466,0.9905,0.9129,149,27,519,524,1087,,,,
FOXNEWS,qwen38_27b,combined,4,first,54920,21082,38.3867,0.828,0.9618,0.8899,130,27,504,524,1087,,,,
FOXNEWS,qwen38_27b,combined,4,middle,54920,21082,38.3867,0.8438,0.9943,0.9128,135,25,521,524,1087,,,,
FOXNEWS,qwen38_27b,combined,4,last,54920,21082,38.3867,0.8385,0.9885,0.9074,135,26,518,524,1087,,,,
FOXNEWS,qwen38_27b,combined,5,first,54920,19468,35.4479,0.8194,0.9599,0.8841,118,26,503,524,1087,,,,
FOXNEWS,qwen38_27b,combined,5,middle,54920,19468,35.4479,0.8276,0.9771,0.8961,120,25,512,524,1087,,,,
FOXNEWS,qwen38_27b,combined,5,last,54920,19468,35.4479,0.8288,0.9752,0.896,121,25,511,524,1087,,,,
