channel,model,task,threshold,strategy,n_raw,n_retained,retention_pct,precision,recall,f1,retained_tp,retained_fp,oracle_preserved,oracle_size,n_gold_pos,tp,fp,fn,tn
MSNBC,gemma_4_31b,logo,3,first,43580,16614,38.123,0.906,0.8902,0.898,135,14,389,437,562,,,,
MSNBC,gemma_4_31b,logo,3,middle,43580,16614,38.123,0.9116,0.9108,0.9112,134,13,398,437,562,,,,
MSNBC,gemma_4_31b,logo,3,last,43580,16614,38.123,0.9122,0.9016,0.9069,135,13,394,437,562,,,,
MSNBC,gemma_4_31b,logo,4,first,43580,14997,34.4126,0.8824,0.8719,0.8771,105,14,381,437,562,,,,
MSNBC,gemma_4_31b,logo,4,middle,43580,14997,34.4126,0.8898,0.9108,0.9002,105,13,398,437,562,,,,
MSNBC,gemma_4_31b,logo,4,last,43580,14997,34.4126,0.8898,0.8833,0.8866,105,13,386,437,562,,,,
MSNBC,gemma_4_31b,logo,5,first,43580,13868,31.8219,0.866,0.8719,0.8689,84,13,381,437,562,,,,
MSNBC,gemma_4_31b,logo,5,middle,43580,13868,31.8219,0.866,0.9108,0.8878,84,13,398,437,562,,,,
MSNBC,gemma_4_31b,logo,5,last,43580,13868,31.8219,0.866,0.8833,0.8746,84,13,386,437,562,,,,
MSNBC,gemma_4_31b,screenshot,3,first,43580,16614,38.123,0.8991,0.9787,0.9372,98,11,276,282,312,,,,
MSNBC,gemma_4_31b,screenshot,3,middle,43580,16614,38.123,0.9143,0.9716,0.9421,96,9,274,282,312,,,,
MSNBC,gemma_4_31b,screenshot,3,last,43580,16614,38.123,0.9065,0.9929,0.9478,97,10,280,282,312,,,,
MSNBC,gemma_4_31b,screenshot,4,first,43580,14997,34.4126,0.8721,0.9787,0.9223,75,11,276,282,312,,,,
MSNBC,gemma_4_31b,screenshot,4,middle,43580,14997,34.4126,0.9012,0.9716,0.9351,73,8,274,282,312,,,,
MSNBC,gemma_4_31b,screenshot,4,last,43580,14997,34.4126,0.9024,0.9929,0.9455,74,8,280,282,312,,,,
MSNBC,gemma_4_31b,screenshot,5,first,43580,13868,31.8219,0.8615,0.9787,0.9164,56,9,276,282,312,,,,
MSNBC,gemma_4_31b,screenshot,5,middle,43580,13868,31.8219,0.9,0.9716,0.9344,54,6,274,282,312,,,,
MSNBC,gemma_4_31b,screenshot,5,last,43580,13868,31.8219,0.9016,0.9929,0.9451,55,6,280,282,312,,,,
MSNBC,gemma_4_31b,combined,3,first,43580,16614,38.123,0.8766,0.8902,0.8833,135,19,389,437,562,,,,
MSNBC,gemma_4_31b,combined,3,middle,43580,16614,38.123,0.8874,0.9108,0.8989,134,17,398,437,562,,,,
MSNBC,gemma_4_31b,combined,3,last,43580,16614,38.123,0.8882,0.9016,0.8948,135,17,394,437,562,,,,
MSNBC,gemma_4_31b,combined,4,first,43580,14997,34.4126,0.8468,0.8719,0.8591,105,19,381,437,562,,,,
