channel,model,task,threshold,strategy,n_raw,n_retained,retention_pct,precision,recall,f1,retained_tp,retained_fp,oracle_preserved,oracle_size,n_gold_pos,tp,fp,fn,tn
CNN,gemma_4_31b,logo,3,first,32953,13588,41.2345,0.4884,1.0,0.6562,21,22,118,118,169,,,,
CNN,gemma_4_31b,logo,3,middle,32953,13588,41.2345,0.4884,1.0,0.6562,21,22,118,118,169,,,,
CNN,gemma_4_31b,logo,3,last,32953,13588,41.2345,0.5,1.0,0.6667,21,21,118,118,169,,,,
CNN,gemma_4_31b,logo,4,first,32953,12250,37.1742,0.5,1.0,0.6667,20,20,118,118,169,,,,
CNN,gemma_4_31b,logo,4,middle,32953,12250,37.1742,0.5,1.0,0.6667,20,20,118,118,169,,,,
CNN,gemma_4_31b,logo,4,last,32953,12250,37.1742,0.5,1.0,0.6667,20,20,118,118,169,,,,
CNN,gemma_4_31b,logo,5,first,32953,11357,34.4642,0.4872,1.0,0.6552,19,20,118,118,169,,,,
CNN,gemma_4_31b,logo,5,middle,32953,11357,34.4642,0.4872,1.0,0.6552,19,20,118,118,169,,,,
CNN,gemma_4_31b,logo,5,last,32953,11357,34.4642,0.4872,1.0,0.6552,19,20,118,118,169,,,,
CNN,gemma_4_31b,screenshot,3,first,32953,13588,41.2345,0.5294,1.0,0.6923,18,16,114,114,174,,,,
CNN,gemma_4_31b,screenshot,3,middle,32953,13588,41.2345,0.5455,1.0,0.7059,18,15,114,114,174,,,,
CNN,gemma_4_31b,screenshot,3,last,32953,13588,41.2345,0.5455,1.0,0.7059,18,15,114,114,174,,,,
CNN,gemma_4_31b,screenshot,4,first,32953,12250,37.1742,0.5161,1.0,0.6809,16,15,114,114,174,,,,
CNN,gemma_4_31b,screenshot,4,middle,32953,12250,37.1742,0.5517,1.0,0.7111,16,13,114,114,174,,,,
CNN,gemma_4_31b,screenshot,4,last,32953,12250,37.1742,0.5333,1.0,0.6957,16,14,114,114,174,,,,
CNN,gemma_4_31b,screenshot,5,first,32953,11357,34.4642,0.5714,1.0,0.7273,16,12,114,114,174,,,,
CNN,gemma_4_31b,screenshot,5,middle,32953,11357,34.4642,0.5333,1.0,0.6957,16,14,114,114,174,,,,
CNN,gemma_4_31b,screenshot,5,last,32953,11357,34.4642,0.5333,1.0,0.6957,16,14,114,114,174,,,,
CNN,gemma_4_31b,combined,3,first,32953,13588,41.2345,0.4032,1.0,0.5747,25,37,142,142,182,,,,
CNN,gemma_4_31b,combined,3,middle,32953,13588,41.2345,0.4098,1.0,0.5814,25,36,142,142,182,,,,
CNN,gemma_4_31b,combined,3,last,32953,13588,41.2345,0.4098,1.0,0.5814,25,36,142,142,182,,,,
CNN,gemma_4_31b,combined,4,first,32953,12250,37.1742,0.4035,1.0,0.575,23,34,142,142,182,,,,
CNN,gemma_4_31b,combined,4,middle,32953,12250,37.1742,0.4182,1.0,0.5897,23,32,142,142,182,,,,
CNN,gemma_4_31b,combined,4,last,32953,12250,37.1742,0.4035,1.0,0.575,23,34,142,142,182,,,,
CNN,gemma_4_31b,combined,5,first,32953,11357,34.4642,0.4151,1.0,0.5867,22,31,142,142,182,,,,
CNN,gemma_4_31b,combined,5,middle,32953,11357,34.4642,0.4,1.0,0.5714,22,33,142,142,182,,,,
CNN,gemma_4_31b,combined,5,last,32953,11357,34.4642,0.3929,1.0,0.5641,22,34,142,142,182,,,,
CNN,qwen38_27b,logo,3,first,32953,13588,41.2345,0.5,0.9286,0.65,13,13,52,56,169,,,,
CNN,qwen38_27b,logo,3,middle,32953,13588,41.2345,0.5,0.8929,0.641,13,13,50,56,169,,,,
CNN,qwen38_27b,logo,3,last,32953,13588,41.2345,0.5,0.9464,0.6543,13,13,53,56,169,,,,
CNN,qwen38_27b,logo,4,first,32953,12250,37.1742,0.5417,0.9821,0.6982,13,11,55,56,169,,,,
CNN,qwen38_27b,logo,4,middle,32953,12250,37.1742,0.5,0.7857,0.6111,11,11,44,56,169,,,,
