channel,model,task,threshold,strategy,n_raw,n_retained,retention_pct,precision,recall,f1,retained_tp,retained_fp,oracle_preserved,oracle_size,n_gold_pos,tp,fp,fn,tn
CNN,gemma_4_31b,logo,all,all,32946,32946,100.0,0.7815,0.6982,0.7375,118,33,118,169,169,118.0,33.0,51.0,32744.0
CNN,gemma_4_31b,screenshot,all,all,32946,32946,100.0,0.6867,0.6552,0.6706,114,52,114,174,174,114.0,52.0,60.0,32720.0
CNN,gemma_4_31b,combined,all,all,32946,32946,100.0,0.6455,0.7802,0.7065,142,78,142,182,182,142.0,78.0,40.0,32686.0
CNN,qwen38_27b,logo,all,all,32953,32953,100.0,0.8,0.3314,0.4686,56,14,56,169,169,56.0,14.0,113.0,32770.0
CNN,qwen38_27b,screenshot,all,all,32953,32953,100.0,0.8968,0.6494,0.7533,113,13,113,174,174,113.0,13.0,61.0,32766.0
CNN,qwen38_27b,combined,all,all,32953,32953,100.0,0.8258,0.7033,0.7596,128,27,128,182,182,128.0,27.0,54.0,32744.0
FOXNEWS,gemma_4_31b,logo,all,all,54914,54914,100.0,0.7863,0.8997,0.8392,655,178,655,728,728,655.0,178.0,73.0,54008.0
FOXNEWS,gemma_4_31b,screenshot,all,all,54914,54914,100.0,0.7995,0.5483,0.6505,295,74,295,538,538,295.0,74.0,243.0,54302.0
FOXNEWS,gemma_4_31b,combined,all,all,54914,54914,100.0,0.833,0.7893,0.8106,858,172,858,1087,1087,858.0,172.0,229.0,53655.0
FOXNEWS,qwen38_27b,logo,all,all,54913,54913,100.0,0.9126,0.6456,0.7562,470,45,470,728,728,470.0,45.0,258.0,54140.0
FOXNEWS,qwen38_27b,screenshot,all,all,54913,54913,100.0,0.9944,0.329,0.4944,177,1,177,538,538,177.0,1.0,361.0,54374.0
FOXNEWS,qwen38_27b,combined,all,all,54913,54913,100.0,0.9225,0.4821,0.6332,524,44,524,1087,1087,524.0,44.0,563.0,53782.0
MSNBC,gemma_4_31b,logo,all,all,43580,43580,100.0,0.969,0.7776,0.8628,437,14,437,562,562,437.0,14.0,125.0,43004.0
MSNBC,gemma_4_31b,screenshot,all,all,43580,43580,100.0,0.9216,0.9038,0.9126,282,24,282,312,312,282.0,24.0,30.0,43244.0
MSNBC,gemma_4_31b,combined,all,all,43580,43580,100.0,0.9378,0.7776,0.8502,437,29,437,562,562,437.0,29.0,125.0,42989.0
MSNBC,qwen38_27b,logo,all,all,43580,43580,100.0,0.9635,0.6584,0.7822,370,14,370,562,562,370.0,14.0,192.0,43004.0
MSNBC,qwen38_27b,screenshot,all,all,43580,43580,100.0,1.0,0.8141,0.8975,254,0,254,312,312,254.0,0.0,58.0,43268.0
MSNBC,qwen38_27b,combined,all,all,43580,43580,100.0,0.9635,0.6584,0.7822,370,14,370,562,562,370.0,14.0,192.0,43004.0
