model_family,all_frames_model,reduced_model,channel,task,n_all,n_reduced,precision_all,precision_reduced,recall_all,recall_reduced,f1_all,f1_reduced,f1_delta,precision_delta,recall_delta
Gemma,gemma_all,gemma_4_31b,CNN,logo,32639,13223,0.7815,0.5676,0.6982,0.7778,0.7375,0.6562,0.0813,0.2139,-0.0796
Gemma,gemma_all,gemma_4_31b,CNN,screenshot,32639,13223,0.6867,0.5625,0.6552,0.72,0.6706,0.6316,0.039,0.1242,-0.0648
Gemma,gemma_all,gemma_4_31b,FOX News,logo,54300,23081,0.7903,0.76,0.8972,0.8333,0.8404,0.795,0.0454,0.0303,0.0639
Gemma,gemma_all,gemma_4_31b,FOX News,screenshot,54300,23081,0.7989,0.8319,0.5475,0.3764,0.6497,0.5183,0.1314,-0.033,0.1711
Gemma,gemma_all,gemma_4_31b,MSNBC,logo,43149,16322,0.9711,0.9178,0.7776,0.9306,0.8636,0.9241,-0.0605,0.0533,-0.153
Gemma,gemma_all,gemma_4_31b,MSNBC,screenshot,43149,16322,0.9216,0.9143,0.9038,0.9697,0.9126,0.9412,-0.0286,0.0073,-0.0659
Qwen,qwen_all,qwen38_27b,CNN,logo,32646,13318,0.8,0.5909,0.3314,0.4815,0.4686,0.5306,-0.062,0.2091,-0.1501
Qwen,qwen_all,qwen38_27b,CNN,screenshot,32646,13318,0.8968,0.85,0.6494,0.68,0.7533,0.7556,-0.0023,0.0468,-0.0306
Qwen,qwen_all,qwen38_27b,FOX News,logo,54299,23095,0.9107,0.8365,0.6465,0.5833,0.7562,0.6873,0.0689,0.0742,0.0632
Qwen,qwen_all,qwen38_27b,FOX News,screenshot,54299,23095,0.9944,0.9744,0.3277,0.1445,0.493,0.2517,0.2413,0.02,0.1832
Qwen,qwen_all,qwen38_27b,MSNBC,logo,43149,16338,0.9635,0.922,0.6584,0.9028,0.7822,0.9123,-0.1301,0.0415,-0.2444
Qwen,qwen_all,qwen38_27b,MSNBC,screenshot,43149,16338,1.0,1.0,0.8141,0.9394,0.8975,0.9688,-0.0713,0.0,-0.1253
