model,channel,task,label,tp,fp,fn,precision,recall,f1,support
qwen38_27b,FOX News,logo,discord,0,0,3,0.0,0.0,0.0,3
qwen38_27b,FOX News,logo,facebook,26,2,7,0.9286,0.7879,0.8525,33
qwen38_27b,FOX News,logo,instagram,25,0,34,1.0,0.4237,0.5952,59
qwen38_27b,FOX News,logo,linkedin,0,0,2,0.0,0.0,0.0,2
qwen38_27b,FOX News,logo,meta,0,0,2,0.0,0.0,0.0,2
qwen38_27b,FOX News,logo,parler,23,0,11,1.0,0.6765,0.807,34
qwen38_27b,FOX News,logo,pinterest,0,0,4,0.0,0.0,0.0,4
qwen38_27b,FOX News,logo,rumble,3,0,0,1.0,1.0,1.0,3
qwen38_27b,FOX News,logo,snapchat,0,1,3,0.0,0.0,0.0,3
qwen38_27b,FOX News,logo,tiktok,24,2,21,0.9231,0.5333,0.6761,45
qwen38_27b,FOX News,logo,truth social,0,0,1,0.0,0.0,0.0,1
qwen38_27b,FOX News,logo,twitter,50,1,31,0.9804,0.6173,0.7576,81
qwen38_27b,FOX News,logo,twitter (x),7,22,23,0.2414,0.2333,0.2373,30
qwen38_27b,FOX News,logo,youtube,0,0,2,0.0,0.0,0.0,2
qwen38_27b,FOX News,logo,unidentified,0,0,0,0.0,0.0,0.0,0
qwen38_27b,FOX News,logo,micro,158,28,144,0.8495,0.5232,0.6475,302
qwen38_27b,FOX News,screenshot,instagram,1,0,0,1.0,1.0,1.0,1
qwen38_27b,FOX News,screenshot,truth social,0,0,1,0.0,0.0,0.0,1
qwen38_27b,FOX News,screenshot,twitter,29,3,4,0.9062,0.8788,0.8923,33
qwen38_27b,FOX News,screenshot,twitter (x),6,0,2,1.0,0.75,0.8571,8
qwen38_27b,FOX News,screenshot,unidentified,0,0,0,0.0,0.0,0.0,0
qwen38_27b,FOX News,screenshot,micro,36,3,7,0.9231,0.8372,0.878,43
